# model dataset graph n_nodes n_4_cliques
ER_iid web-spam res_60.txt 4767 401113
ER_iid web-spam res_61.txt 4767 345440
ER_iid web-spam res_62.txt 4766 364733
ER_iid web-spam res_63.txt 4767 408544
ER_iid web-spam res_64.txt 4767 414348
ER_iid web-spam res_65.txt 4765 392063
ER_iid web-spam res_66.txt 4767 397308
ER_iid web-spam res_67.txt 4766 384475
ER_iid web-spam res_68.txt 4766 350719
ER_iid web-spam res_69.txt 4767 355952
ER_iid web-spam res_6.txt 4767 377136
ER_iid web-spam res_70.txt 4765 412637
ER_iid web-spam res_71.txt 4767 413496
ER_iid web-spam res_72.txt 4767 352232
ER_iid web-spam res_73.txt 4766 378838
ER_iid web-spam res_74.txt 4765 363033
ER_iid web-spam res_75.txt 4767 399067
ER_iid web-spam res_76.txt 4766 340164
ER_iid web-spam res_77.txt 4767 379894
ER_iid web-spam res_78.txt 4767 358690
ER_iid web-spam res_79.txt 4767 414995
ER_iid web-spam res_7.txt 4767 380830
ER_iid web-spam res_80.txt 4766 384292
ER_iid web-spam res_81.txt 4767 370049
